127.0.0.1 - - [06/May/2024:21:56:17 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:18 -0700] "GET /201_final_project/ HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:18 -0700] "GET /201_final_project/index.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:18 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:19 -0700] "GET /201_final_project/login.html HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:19 -0700] "GET /201_final_project/style.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:19 -0700] "GET /201_final_project/login.js HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "POST /201_final_project/Login HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [06/May/2024:21:56:24 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:05 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:05 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:05 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:05 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
